Filename,Label,mean_pixel_intensity,std_pixel_intensity,entropy,edge_density,center_brightness,is_augmented,Image URL
Mild_D_00001,MildDemented,54.80621338,60.61424489,2.847783502,0.080291748,104.5899658,FALSE,https://drive.google.com/uc?export=view&id=1IJi4ur_Ke1fPkLt2DlgjyGMC26YJ69Lu
Mild_D_00002,MildDemented,73.52130127,84.47605388,3.029536133,0.082504272,151.3317871,FALSE,https://drive.google.com/uc?export=view&id=1Nw-BEVwUe4_mWXNO_dvPizqTNpq7cNI3
Mild_D_00003,MildDemented,78.80847168,82.59391534,3.376683209,0.087463379,128.9571533,FALSE,https://drive.google.com/uc?export=view&id=1GADa9UzJMWN2BgNsBihpN_Oe3EHF75xK
Mild_D_00004,MildDemented,74.40574646,77.06944174,3.279336579,0.080993652,136.4750366,FALSE,https://drive.google.com/uc?export=view&id=161YcLWzIgVnhtJS3dSJh4GtfJ6i8xyde
Mild_D_00005,MildDemented,68.12065125,79.58237369,2.972923067,0.089920044,145.6033936,FALSE,https://drive.google.com/uc?export=view&id=1kDWt8fK3jujJ5ByvKf-X-TwVGoKs00cf
Mild_D_00006,MildDemented,78.23597717,85.46250224,3.261564272,0.082778931,148.5032959,FALSE,https://drive.google.com/uc?export=view&id=1RnagjLHW0TRrrg8I9EnmSkMzvc3EBEdL
Mild_D_00007,MildDemented,33.48951721,50.94656637,2.401770103,0.060211182,72.70721436,FALSE,https://drive.google.com/uc?export=view&id=1LRYmLShspKatf0biwwFvb0jC4BB2Yl-z
Mild_D_00008,MildDemented,87.3109436,92.08708295,3.199444905,0.083480835,176.2302246,FALSE,https://drive.google.com/uc?export=view&id=1eP6F2sWXs0co-QZ7bcd-y-YdxXF17FPY
Mild_D_00009,MildDemented,54.03619385,60.05557197,2.961263684,0.075149536,109.3320313,FALSE,https://drive.google.com/uc?export=view&id=1aLKHZSMxatJlS_n72ptieSRZp2GQncA3
Mild_D_00010,MildDemented,72.10488892,86.34918198,2.935505446,0.069534302,149.8208008,FALSE,https://drive.google.com/uc?export=view&id=1ZE__FJItW6iQnzxKz7QQl-o1I5JUcFQt
Mild_D_00011,MildDemented,61.73413086,82.36830915,2.724399213,0.075485229,127.8744507,FALSE,https://drive.google.com/uc?export=view&id=1YZk6yqpc4VyhDwGr5SsBVq0zI_hLQUk8
Mild_D_00012,MildDemented,124.5671844,88.05843738,2.580192038,0.067138672,206.7224121,FALSE,https://drive.google.com/uc?export=view&id=1BW_tgvEq8xNpztAZ4fdemEmR8vpocNNO
Mild_D_00013,MildDemented,68.81123352,84.5110737,2.842854479,0.075180054,147.1564941,FALSE,https://drive.google.com/uc?export=view&id=1B5WrmFVweA32CiwUWEc3WJNz-vC8bh4X
Mild_D_00014,MildDemented,81.30859375,82.14863021,3.538169548,0.095870972,139.0822754,FALSE,https://drive.google.com/uc?export=view&id=1Otpu4KoE73q3J3dmt3OqR6W3zHv0NDHE
Mild_D_00015,MildDemented,90.59683228,68.48205036,3.016642025,0.076507568,143.161499,FALSE,https://drive.google.com/uc?export=view&id=1N7hihwjajTCQWFBbFjUcZ9naEl34Th5K
Mild_D_00016,MildDemented,110.1794434,77.39903285,2.994933774,0.07598877,182.8773193,FALSE,https://drive.google.com/uc?export=view&id=1DBehLuZAXFdLL8DLA8NOfviHtNnVi9-l
Mild_D_00017,MildDemented,108.795929,95.37375967,2.853280332,0.083206177,194.9307861,FALSE,https://drive.google.com/uc?export=view&id=1PtVRTZYbPTyCANU4fR9hX0ixcMeis3We
Mild_D_00018,MildDemented,121.1875458,90.52194014,2.984381626,0.084579468,202.2015991,FALSE,https://drive.google.com/uc?export=view&id=1xzNTNyxd25qTrSJrUjBXP9QnNjh5cYnN
Mild_D_00019,MildDemented,67.23356628,81.65311244,2.8676231,0.082794189,139.9853516,FALSE,https://drive.google.com/uc?export=view&id=18Z-1ftpClNcvILBw08eRQEd_dqA85Mvk
Mild_D_00020,MildDemented,75.48782349,79.07192928,3.480290103,0.094924927,132.2123413,FALSE,https://drive.google.com/uc?export=view&id=1H5H36LWzHagxfvrDT_gYJkv6EibB1qVN
Mild_D_00021,MildDemented,77.40467834,95.64209697,2.639609216,0.074859619,192.1358032,FALSE,https://drive.google.com/uc?export=view&id=1j-EpefaDvijibW7sol4eba-rk32ztuSW
Mild_D_00022,MildDemented,74.204422,81.16694263,3.0888797,0.076446533,134.9346313,FALSE,https://drive.google.com/uc?export=view&id=1QsdnwHU4dfQvaSzH6yEvGWsGO2vAC7xj
Mild_D_00023,MildDemented,82.33253479,95.89191584,2.876637958,0.091873169,166.4029541,FALSE,https://drive.google.com/uc?export=view&id=1yuKpSiP6eyJ2MZtKEzXewZdHnki9A96u
Mild_D_00024,MildDemented,48.02401733,60.48305485,2.81452586,0.079879761,101.0320435,FALSE,https://drive.google.com/uc?export=view&id=1AeQ-sn_LRI68Bw24DKp63vOXokhxqO56
Mild_D_00025,MildDemented,57.13163757,76.12660507,2.595207442,0.073120117,127.0693359,FALSE,https://drive.google.com/uc?export=view&id=14gAOWSVYReXR6Fpy1FcPGoQRRjPzirEM
Mild_D_00026,MildDemented,89.55412292,90.74668706,3.174149498,0.09312439,166.3222046,FALSE,https://drive.google.com/uc?export=view&id=1w21wohEU3eCz_qCQaUBzljH-gzx5GdIt
Mild_D_00027,MildDemented,47.41539001,57.84049112,2.589102191,0.063720703,107.940918,FALSE,https://drive.google.com/uc?export=view&id=1n3pAIqSW0ciLZzYVM2v-WcxtTRMEutGm
